Index;photo;Point_ID;no_of_gaps;gap_area;gap_fraction
0;MAWDT01_1_xmp_e_2019-08-12_14.04.07.jpg;MAWDT01;1075;275366;47.514
1;MAWDT02_1_xmp_e_2019-08-12_14.03.53.jpg;MAWDT02;390;274628;47.386
2;MAWDT03_1_xmp_e_2019-08-12_14.03.38.jpg;MAWDT03;372;320525;55.306
3;MAWDT04_1_xmp_e_2019-08-12_14.03.25.jpg;MAWDT04;823;250759;43.268
4;MAWDT05_1_xmp_e_2019-08-12_14.03.11.jpg;MAWDT05;509;239321;41.294
5;MAWDT06_1_xmp_e_2019-08-12_14.02.57.jpg;MAWDT06;1417;238584;41.167
6;MAWDT07_1_xmp_e_2019-08-12_14.02.44.jpg;MAWDT07;572;339263;58.539
7;MAWDT08_1_xmp_e_2019-08-12_14.02.28.jpg;MAWDT08;689;323311;55.786
8;MAWDT09_1_xmp_e_2019-08-12_14.02.15.jpg;MAWDT09;3147;132643;22.887
9;MAWDT10_1_xmp_e_2019-08-12_14.02.01.jpg;MAWDT10;846;294371;50.793
10;MAWMH01_1_xmp_e_2019-08-12_14.06.34.jpg;MAWMH01;626;440629;76.029
11;MAWMH02_1_xmp_e_2019-08-12_14.06.47.jpg;MAWMH02;938;328367;56.659
12;MAWMH03_1_xmp_e_2019-08-12_14.08.37.jpg;MAWMH03;731;348714;60.169
13;MAWMH04_1_xmp_e_2019-08-12_14.08.23.jpg;MAWMH04;629;450561;77.743
14;MAWMH05_1_xmp_e_2019-08-12_14.08.09.jpg;MAWMH05;792;382411;65.984
15;MAWMH06_1_xmp_e_2019-08-12_14.07.54.jpg;MAWMH06;841;427385;73.744
16;MAWMH07_1_xmp_e_2019-08-12_14.07.41.jpg;MAWMH07;81;562346;97.031
17;MAWMH08_1_xmp_e_2019-08-12_14.07.28.jpg;MAWMH08;399;532181;91.826
18;MAWMH09_1_xmp_e_2019-08-12_14.07.15.jpg;MAWMH09;28;560773;96.76
19;MAWMH10_1_xmp_e_2019-08-12_14.07.01.jpg;MAWMH10;158;477093;82.321
20;MAWRP01_1_xmp_e_2019-08-12_14.05.26.jpg;MAWRP01;157;543422;93.766
21;MAWRP02_1_xmp_e_2019-08-12_14.05.13.jpg;MAWRP02;54;558398;96.35
22;MAWRP03_1_xmp_e_2019-08-12_14.05.00.jpg;MAWRP03;113;554991;95.762
