Index,photo,no_of_gaps,gap_area,gap_fraction
0,MAWDT01_1_xmp_e.jpg,2299,5009044,67.665
1,MAWDT01_2_xmp_e.jpg,2429,4689480,63.348
2,MAWDT01_3_xmp_e.jpg,1572,5119995,69.163
3,MAWDT01_4_xmp_e.jpg,1368,5703054,77.040
4,MAWDT02_1_xmp_e.jpg,701,5023225,67.856
5,MAWDT02_2_xmp_e.jpg,410,5728216,77.380
6,MAWDT02_3_xmp_e.jpg,1191,1678026,22.668
7,MAWDT02_4_xmp_e.jpg,560,5431710,73.374
8,MAWDT03_1_xmp_e.jpg,681,5457100,73.717
9,MAWDT03_2_xmp_e.jpg,627,5741596,77.560
10,MAWDT03_3_xmp_e.jpg,538,5467353,73.856
11,MAWDT03_4_xmp_e.jpg,1076,5368468,72.520
12,MAWDT04_1_xmp_e.jpg,1725,4338393,58.605
13,MAWDT04_2_xmp_e.jpg,1369,5067924,68.460
14,MAWDT04_3_xmp_e.jpg,1648,4150667,56.069
15,MAWDT04_4_xmp_e.jpg,3852,4467065,60.343
16,MAWDT05_1_xmp_e.jpg,1132,4773957,64.489
17,MAWDT05_2_xmp_e.jpg,1761,3642779,49.208
18,MAWDT05_3_xmp_e.jpg,3580,944848,12.763
19,MAWDT05_4_xmp_e.jpg,1126,3608818,48.750
20,MAWDT06_1_xmp_e.jpg,2828,3869904,52.277
21,MAWDT06_2_xmp_e.jpg,1927,5459502,73.750
22,MAWDT06_3_xmp_e.jpg,3589,4676910,63.178
23,MAWDT06_4_xmp_e.jpg,4135,4117506,55.621
24,MAWDT07_1_xmp_e.jpg,1451,5599614,75.642
25,MAWDT07_2_xmp_e.jpg,1207,5963093,80.552
26,MAWDT07_3_xmp_e.jpg,1606,5167309,69.803
27,MAWDT07_4_xmp_e.jpg,1157,5878547,79.410
28,MAWDT08_1_xmp_e.jpg,1677,5412915,73.120
29,MAWDT08_2_xmp_e.jpg,2124,5637444,76.153
30,MAWDT08_3_xmp_e.jpg,2059,4580046,61.870
31,MAWDT08_4_xmp_e.jpg,1716,5145269,69.505
32,MAWDT09_1_xmp_e.jpg,6771,1502249,20.293
33,MAWDT09_2_xmp_e.jpg,6818,2290362,30.939
34,MAWDT09_3_xmp_e.jpg,8463,2837898,38.336
35,MAWDT09_4_xmp_e.jpg,4907,3141098,42.431
36,MAWDT10_1_xmp_e.jpg,1449,5150450,69.575
37,MAWDT10_2_xmp_e.jpg,809,5772231,77.974
38,MAWDT10_3_xmp_e.jpg,949,5636775,76.144
39,MAWDT10_4_xmp_e.jpg,1811,3950449,53.365
40,MAWMH01_1_xmp_e.jpg,1690,6397861,86.425
41,MAWMH01_2_xmp_e.jpg,1310,6241457,84.313
42,MAWMH01_3_xmp_e.jpg,1074,6549266,88.471
43,MAWMH01_4_xmp_e.jpg,1512,6256146,84.511
44,MAWMH02_1_xmp_e.jpg,2277,5552191,75.002
45,MAWMH02_2_xmp_e.jpg,2515,5494512,74.223
46,MAWMH02_3_xmp_e.jpg,8259,4466055,60.330
47,MAWMH02_4_xmp_e.jpg,1556,5480157,74.029
48,MAWMH03_1_xmp_e.jpg,1826,5670998,76.607
49,MAWMH03_2_xmp_e.jpg,2017,5649282,76.313
50,MAWMH03_3_xmp_e.jpg,1531,5711315,77.151
51,MAWMH03_4_xmp_e.jpg,440,6321530,85.394
52,MAWMH04_1_xmp_e.jpg,1430,6468191,87.375
53,MAWMH04_2_xmp_e.jpg,1416,6494899,87.736
54,MAWMH04_3_xmp_e.jpg,2291,6306189,85.187
55,MAWMH04_4_xmp_e.jpg,1664,6406615,86.544
56,MAWMH05_1_xmp_e.jpg,2215,5895374,79.638
57,MAWMH05_2_xmp_e.jpg,1739,6021173,81.337
58,MAWMH05_3_xmp_e.jpg,3628,4380696,59.177
59,MAWMH05_4_xmp_e.jpg,1698,5807176,78.446
60,MAWMH06_1_xmp_e.jpg,1734,6306791,85.195
61,MAWMH06_2_xmp_e.jpg,937,6673790,90.153
62,MAWMH06_3_xmp_e.jpg,1164,6351396,85.798
63,MAWMH06_4_xmp_e.jpg,546,6575667,88.827
64,MAWMH07_1_xmp_e.jpg,300,7228084,97.640
65,MAWMH07_2_xmp_e.jpg,204,7196218,97.210
66,MAWMH07_3_xmp_e.jpg,83,7285088,98.411
67,MAWMH07_4_xmp_e.jpg,355,7188308,97.103
68,MAWMH08_1_xmp_e.jpg,1326,6980056,94.290
69,MAWMH08_2_xmp_e.jpg,546,7063672,95.420
70,MAWMH08_3_xmp_e.jpg,2024,5806655,78.439
71,MAWMH08_4_xmp_e.jpg,2661,6236730,84.249
72,MAWMH09_1_xmp_e.jpg,218,7185532,97.066
73,MAWMH09_2_xmp_e.jpg,215,7205165,97.331
74,MAWMH09_3_xmp_e.jpg,258,7140902,96.463
75,MAWMH09_4_xmp_e.jpg,221,7159681,96.716
76,MAWMH10_1_xmp_e.jpg,526,6622086,89.454
77,MAWMH10_2_xmp_e.jpg,993,6560041,88.616
78,MAWMH10_3_xmp_e.jpg,1183,6447680,87.098
79,MAWMH10_4_xmp_e.jpg,3471,4547231,61.426
80,MAWRP01_1_xmp_e.jpg,413,7060809,95.381
81,MAWRP01_2_xmp_e.jpg,1473,6511746,87.964
82,MAWRP01_3_xmp_e.jpg,315,7097810,95.881
83,MAWRP01_4_xmp_e.jpg,471,7150600,96.594
84,MAWRP02_1_xmp_e.jpg,296,7174915,96.922
85,MAWRP02_2_xmp_e.jpg,122,7103757,95.961
86,MAWRP02_3_xmp_e.jpg,263,7198924,97.247
87,MAWRP02_4_xmp_e.jpg,257,7198590,97.242
88,MAWRP03_1_xmp_e.jpg,378,7087401,95.740
89,MAWRP03_2_xmp_e.jpg,684,7063813,95.421
90,MAWRP03_3_xmp_e.jpg,182,7095912,95.855
91,MAWRP03_4_xmp_e.jpg,156,7091250,95.792
92,MAWRP04_1_xmp_e.jpg,1139,6771083,91.467
93,MAWRP04_2_xmp_e.jpg,549,6948914,93.869
94,MAWRP04_3_xmp_e.jpg,545,6967829,94.125
95,MAWRP04_4_xmp_e.jpg,1055,6820163,92.130
96,MAWRP05_1_xmp_e.jpg,413,7026889,94.923
97,MAWRP05_2_xmp_e.jpg,1047,7013018,94.735
98,MAWRP05_3_xmp_e.jpg,440,7084798,95.705
99,MAWRP05_4_xmp_e.jpg,273,7115631,96.121
100,MAWRP06_1_xmp_e.jpg,5135,1650758,22.299
101,MAWRP06_2_xmp_e.jpg,2022,6861514,92.689
102,MAWRP06_3_xmp_e.jpg,2670,6561856,88.641
103,MAWRP06_4_xmp_e.jpg,1508,6778673,91.570
104,MAWRP07_1_xmp_e.jpg,539,6885220,93.009
105,MAWRP07_2_xmp_e.jpg,669,6484388,87.594
106,MAWRP07_3_xmp_e.jpg,1747,6529991,88.210
107,MAWRP08_1_xmp_e.jpg,523,6901434,93.228
108,MAWRP08_2_xmp_e.jpg,511,6897359,93.173
109,MAWRP08_3_xmp_e.jpg,526,6886340,93.024
110,MAWRP08_4_xmp_e.jpg,503,6934580,93.676
111,MAWRP09_1_xmp_e.jpg,462,7014267,94.752
112,MAWRP09_2_xmp_e.jpg,370,7015557,94.770
113,MAWRP09_3_xmp_e.jpg,239,6999632,94.554
114,MAWRP09_4_xmp_e.jpg,579,7002140,94.588
115,MAWRP10_1_xmp_e.jpg,1186,6060435,81.867
116,MAWRP10_2_xmp_e.jpg,3504,4695855,63.434
117,MAWRP10_3_xmp_e.jpg,817,6324052,85.428
