Index,photo,no_of_gaps,gap_area,gap_fraction
0,MDLDT01_1_xmp_e.jpg,974,3350562,43.036
1,MDLDT01_2_xmp_e.jpg,2817,1063230,13.657
2,MDLDT01_3_xmp_e.jpg,1621,4741994,60.908
3,MDLDT01_4_xmp_e.jpg,612,4207448,54.042
4,MDLDT02_1_xmp_e.jpg,1219,4710816,60.508
5,MDLDT02_2_xmp_e.jpg,1193,4571665,58.72
6,MDLDT02_3_xmp_e.jpg,1554,4879028,62.668
7,MDLDT02_4_xmp_e.jpg,1532,5875574,75.468
8,MDLDT03_1_xmp_e.jpg,1793,859248,11.037
9,MDLDT03_2_xmp_e.jpg,1700,4278574,54.956
10,MDLDT03_3_xmp_e.jpg,1187,3744147,48.091
11,MDLDT03_4_xmp_e.jpg,1192,6462184,83.003
12,MDLDT04_1_xmp_e.jpg,2602,1239684,15.923
13,MDLDT04_2_xmp_e.jpg,1875,3932698,50.513
14,MDLDT04_3_xmp_e.jpg,1423,4041329,51.909
15,MDLDT04_4_xmp_e.jpg,2183,4145796,53.25
16,MDLDT05_1_xmp_e.jpg,1669,5720487,73.476
17,MDLDT05_2_xmp_e.jpg,1306,5123626,65.81
18,MDLDT05_3_xmp_e.jpg,1381,6047907,77.682
19,MDLDT05_4_xmp_e.jpg,3309,4734734,60.815
20,MDLDT06_1_xmp_e.jpg,2458,4410182,56.646
21,MDLDT06_2_xmp_e.jpg,2133,4885889,62.756
22,MDLDT06_3_xmp_e.jpg,1498,5486123,70.466
23,MDLDT06_4_xmp_e.jpg,1856,5288953,67.934
24,MDLDT07_1_xmp_e.jpg,1807,1563443,20.082
25,MDLDT07_2_xmp_e.jpg,3939,1171297,15.045
26,MDLDT07_3_xmp_e.jpg,1697,4463267,57.328
27,MDLDT07_4_xmp_e.jpg,2117,4747125,60.974
28,MDLDT08_1_xmp_e.jpg,1483,5407618,69.458
29,MDLDT08_2_xmp_e.jpg,1346,4064443,52.205
30,MDLDT08_3_xmp_e.jpg,1979,5079944,65.249
