Index,photo,no_of_gaps,gap_area,gap_fraction
0,MGZDT01_1_xmp_e.jpg,631,5719804,79.031
1,MGZDT01_2_xmp_e.jpg,565,4618843,63.819
2,MGZDT01_3_xmp_e.jpg,739,5661516,78.225
3,MGZDT01_4_xmp_e.jpg,330,5636991,77.887
4,MGZDT02_1_xmp_e.jpg,401,5779163,79.851
5,MGZDT02_2_xmp_e.jpg,184,5732255,79.203
6,MGZDT02_3_xmp_e.jpg,797,5912126,81.688
7,MGZDT02_4_xmp_e.jpg,757,4695863,64.883
8,MGZDT03_1_xmp_e.jpg,544,4128466,57.043
9,MGZDT03_2_xmp_e.jpg,397,3496235,48.308
10,MGZDT03_3_xmp_e.jpg,641,4019235,55.534
11,MGZDT03_4_xmp_e.jpg,2313,5163095,71.339
12,MGZDT04_1_xmp_e.jpg,525,4313520,59.600
13,MGZDT04_2_xmp_e.jpg,1142,3850941,53.209
14,MGZDT04_3_xmp_e.jpg,420,3346685,46.241
15,MGZDT04_4_xmp_e.jpg,530,3329499,46.004
16,MGZDT05_1_xmp_e.jpg,664,5386471,74.425
17,MGZDT05_2_xmp_e.jpg,882,5714982,78.964
18,MGZDT05_3_xmp_e.jpg,908,5353869,73.975
19,MGZDT05_4_xmp_e.jpg,1035,1263292,17.455
20,MGZDT06_1_xmp_e.jpg,3314,1891797,26.139
21,MGZDT06_2_xmp_e.jpg,2941,4311071,59.566
22,MGZDT06_3_xmp_e.jpg,3540,4129900,57.063
23,MGZDT06_4_xmp_e.jpg,3738,1460260,20.176
24,MGZDT07_1_xmp_e.jpg,312,5507946,76.104
25,MGZDT07_2_xmp_e.jpg,339,5765745,79.666
26,MGZDT07_3_xmp_e.jpg,618,5523004,76.312
27,MGZDT07_4_xmp_e.jpg,524,4525351,62.527
28,MGZDT08_1_xmp_e.jpg,1770,3136657,43.339
29,MGZDT08_2_xmp_e.jpg,1481,4931627,68.141
30,MGZDT08_3_xmp_e.jpg,1000,4481940,61.927
31,MGZDT08_4_xmp_e.jpg,1974,5131723,70.905
32,MGZDT09_1_xmp_e.jpg,1049,6422782,88.744
33,MGZDT09_2_xmp_e.jpg,998,6110113,84.424
34,MGZDT09_3_xmp_e.jpg,1093,6104506,84.346
35,MGZDT09_4_xmp_e.jpg,466,5848657,80.811
36,MGZDT10_1_xmp_e.jpg,1286,5371020,74.212
37,MGZDT10_2_xmp_e.jpg,690,4036572,55.774
38,MGZDT10_3_xmp_e.jpg,1433,5156441,71.247
39,MGZDT10_4_xmp_e.jpg,784,5215510,72.063
40,MGZMH01_1_xmp_e.jpg,1479,4749773,65.628
41,MGZMH01_2_xmp_e.jpg,1641,5235597,72.341
42,MGZMH01_3_xmp_e.jpg,1855,4960259,68.536
43,MGZMH01_4_xmp_e.jpg,1863,4490631,62.047
44,MGZMH02_1_xmp_e.jpg,4343,3746359,51.764
