Country,City,Habitat,Point,Temperature,Elevation,Day,Month,Year,hours,minutes,English_Name,age,sex,Count,Sight,Remarks,Audio,Additional_comments
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,Asian Koel,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,Common Myna,n/a,n/a,3,n,,y,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,Edible-nest Swiftlet ,n/a,n/a,20,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,Greater Coucal,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,House Crow,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,Lineated Barbet,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,53,Little Egret ,n/a,n/a,4,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,57,House Swallow,n/a,n/a,7,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,5,59,Greater Coucal,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC08,,,3,3,2019,6,3,Rock Pigeon,n/a,n/a,2,y,Resting,n,
Myanmar,Myeik,UC,MGZUC01,,,3,3,2019,6,13,Common Tailorbird,n/a,n/a,2,n,,y,
Myanmar,Myeik,UC,MGZUC01,,,3,3,2019,6,13,Edible-nest Swiftlet ,n/a,n/a,10,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC01,,,3,3,2019,6,13,Pond Heron (non-breeding),n/a,n/a,1,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC01,,,3,3,2019,6,13,Scarlet-backed Flowerpecker,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC01,,,3,3,2019,6,13,Stripe-throated Bulbul,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC01,,,3,3,2019,6,22,Little Egret ,n/a,n/a,1,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC02,,,3,3,2019,6,35,Asian Koel,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC02,,,3,3,2019,6,35,Common Myna,n/a,n/a,5,y,Flying Over/On ground,y,
Myanmar,Myeik,UC,MGZUC02,,,3,3,2019,6,35,Edible-nest Swiftlet ,n/a,n/a,24,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC02,,,3,3,2019,6,35,House Crow,n/a,n/a,4,n,,y,
Myanmar,Myeik,UC,MGZUC02,,,3,3,2019,6,44,Large-billed Crow,n/a,n/a,1,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Common Myna,n/a,n/a,4,y,On building/ground,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Edible-nest Swiftlet ,n/a,n/a,3,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Greater Coucal,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,House Crow,n/a,n/a,4,y,On coconut tree/flying over,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Olive-backed Sunbird,n/a,n/a,2,y,Flying over,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Rock Pigeon,n/a,n/a,7,y,Flying Over,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Scarlet-backed Flowerpecker,n/a,n/a,1,y,Flying over,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,6,51,Spotted Dove,n/a,n/a,2,y,Bamboo,n,
Myanmar,Myeik,UC,MGZUC10,,,3,3,2019,7,1,Scaly-breasted Munia,n/a,n/a,5,y,Bush,n,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,Asian Brown Flycatcher,n/a,n/a,2,y,On tree,n,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,Black Drongo,n/a,n/a,1,y,On tree,n,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,Black-naped Oriole,n/a,n/a,2,y,On tree,n,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,Common Myna,n/a,n/a,12,y,Foraging on ground,n,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,Common Tailorbird,n/a,n/a,2,n,,y,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,Greater Coucal,n/a,n/a,1,n,,y,
Myanmar,Myeik,UC,MGZUC03,,,3,3,2019,7,12,House Crow,n/a,n/a,1,y,Flying over,n,
