city,plot_id,buffer_radius,NDVI_count,NDVI_inclwater_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max,water_proportion
Mandalay,MDLDT01,100,316,316,0.124,0.1242,-0.0675,0.5498,0
Mandalay,MDLDT01,125,489,489,0.1444,0.1369,-0.0675,0.5498,0
Mandalay,MDLDT01,50,80,80,0.0783,0.0681,-0.0333,0.2677,0
Mandalay,MDLDT01,75,175,175,0.09,0.0842,-0.0333,0.4967,0
Mandalay,MDLDT02,100,277,316,0.0962,0.0833,-0.0316,0.4259,0.123
Mandalay,MDLDT02,125,420,488,0.1065,0.0927,-0.0316,0.4276,0.139
Mandalay,MDLDT02,50,78,81,0.0536,0.0481,-0.0282,0.2166,0.037
Mandalay,MDLDT02,75,161,175,0.0789,0.0673,-0.0282,0.3546,0.08
Mandalay,MDLDT03,100,203,311,0.1362,0.079,-0.0027,0.4744,0.347
Mandalay,MDLDT03,125,346,493,0.1578,0.0902,-0.0403,0.4744,0.298
Mandalay,MDLDT03,50,58,77,0.1182,0.0556,0.034,0.2864,0.247
Mandalay,MDLDT03,75,126,179,0.1185,0.0572,-0.0011,0.3325,0.296
Mandalay,MDLDT04,100,317,317,0.177,0.1229,-0.0375,0.4692,0
Mandalay,MDLDT04,125,490,490,0.1795,0.1191,-0.0375,0.4711,0
Mandalay,MDLDT04,50,79,79,0.1819,0.1089,0.0063,0.4682,0
Mandalay,MDLDT04,75,173,173,0.1838,0.1198,-0.0375,0.4692,0
Mandalay,MDLDT05,100,315,315,0.149,0.0925,-0.0138,0.5018,0
Mandalay,MDLDT05,125,491,491,0.1512,0.0942,-0.0138,0.5018,0
Mandalay,MDLDT05,50,79,79,0.0928,0.0546,-0.0027,0.2609,0
Mandalay,MDLDT05,75,176,176,0.12,0.0675,-0.0138,0.3328,0
Mandalay,MDLDT06,100,316,316,0.1077,0.0727,-0.0422,0.4905,0
Mandalay,MDLDT06,125,494,494,0.1129,0.0774,-0.0422,0.4905,0
Mandalay,MDLDT06,50,79,79,0.113,0.0487,-0.0131,0.2562,0
Mandalay,MDLDT06,75,179,179,0.1052,0.0661,-0.0422,0.3193,0
Mandalay,MDLDT07,100,311,311,0.1571,0.1001,-0.0309,0.5064,0
Mandalay,MDLDT07,125,494,494,0.1533,0.1068,-0.0309,0.5064,0
Mandalay,MDLDT07,50,77,77,0.1698,0.0901,-0.0223,0.4754,0
Mandalay,MDLDT07,75,178,178,0.1649,0.0907,-0.0223,0.4754,0
Mandalay,MDLDT08,100,317,317,0.0989,0.06,-0.0286,0.4518,0
Mandalay,MDLDT08,125,488,488,0.0962,0.0586,-0.0286,0.4518,0
Mandalay,MDLDT08,50,80,80,0.1083,0.0479,-0.0079,0.2952,0
Mandalay,MDLDT08,75,177,177,0.0998,0.0466,-0.0079,0.2952,0
